feature,near_zero_variance_dropped,correlation_redundancy_dropped,mutual_info_score,importance_score,mutual_info_rank,importance_rank
card1_txn_count,False,False,0.014627712971189588,0.005008388822325238,75.0,59.0
card1_amt_mean,False,False,0.02187953493127881,0.011130406162464199,15.0,23.0
card1_amt_std,False,False,0.020474086309477002,0.007958396029352345,20.0,40.0
card1_amt_zscore,False,False,0.010292659417482364,0.006340326203072911,144.0,50.0
P_emaildomain_was_missing,False,False,0.0,0.00038117019995275716,333.0,241.0
R_emaildomain_was_missing,False,True,,,,
D2_was_missing,False,False,0.00810659140885761,0.0009357237802038703,176.0,172.0
D3_was_missing,False,False,0.006851339576596338,0.0005340771894538969,201.0,217.0
D4_was_missing,False,False,0.00245488648099057,0.0003639121028250418,278.0,242.0
D5_was_missing,False,False,0.007549371923830872,0.0010416941821585473,186.0,163.0
D6_was_missing,False,False,0.015341560769723817,0.0023265278643308045,63.0,112.0
D8_was_missing,False,False,0.014732897759854202,0.0002514561480421333,73.0,269.0
D10_was_missing,False,False,0.0010820222463703288,0.00023885073912676777,303.0,275.0
D11_was_missing,False,False,0.010543887966489862,0.00020386741530727687,136.0,284.0
D12_was_missing,False,True,,,,
D13_was_missing,False,False,0.015180400461024757,0.0007986873857047092,66.0,184.0
D14_was_missing,False,False,0.015851991894779927,0.002980220249666152,57.0,91.0
D15_was_missing,False,False,0.0011538561632160604,9.987992861101505e-05,302.0,307.0
V12_was_missing,False,True,,,,
V35_was_missing,False,True,,,,
V53_was_missing,False,False,0.0005207550955594886,0.0007227916855413207,318.0,191.0
V75_was_missing,False,True,,,,
V138_was_missing,False,True,,,,
V167_was_missing,False,True,,,,
V169_was_missing,False,True,,,,
V217_was_missing,False,False,0.01592191931706699,9.064145241767684e-05,55.0,310.0
V220_was_missing,False,True,,,,
V322_was_missing,False,True,,,,
id_01_was_missing,False,True,,,,
id_02_was_missing,False,True,,,,
id_03_was_missing,False,False,0.01534218269862575,0.0001801311386604193,62.0,290.0
id_05_was_missing,False,True,,,,
id_11_was_missing,False,True,,,,
id_13_was_missing,False,False,0.01766060558845739,0.0027409145876390976,33.0,99.0
